	0	100	200	300	400	500	600	700	800	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200	2300	2400	2500	2600	2700	2800	2900	3000	3100	3200	3300	3400	3500	3600	3700	3800	3900	4000	4100	4200	4300	4400	4500	4600	4700	4800	4900	5000	5100	5200	5300	5400	5500	5600	5700	5800	5900	6000	6100	6200	6300	6400	6500	6600	6700	6750
-700	89.3	89.9	91.5	94.3	98.2	103.1	109.2	116.4	124.7	134.2	144.7	158.3	169.1	182.9	197.9	214																																																					
-600	71.4	71.9	73.6	76.3	80.2	85.1	91.2	98.3	106.6	116	126.4	138	150.7	164.5	179.4	195.4	212.5	230.7	260	270.4	292	314.7	338.4	363.3	389.4	416.5	444.8	474.2																																									
-500	55	55.5	57.2	59.9	63.7	68.7	74.7	81.8	90	99.4	109.8	121.3	133.9	147.6	162.4	178.3	195.3	213.4	232.7	253	274.4	297	320.6	345.4	371.3	398.3	426.4	455.6	486	517.4	550	583.7	618.6	654.5	691.7	729.9			729.9																														
-400	40.3	40.8	42.4	45.2	49	53.9	59.9	67	75.1	84.4	94.8	106.2	118.8	132.4	147.1	162.9	179.8	197.9	217	237.2	258.5	280.8	304.4	329.1	354.8	381.6	409.6	438.7	468.8	500.1	532.5	566.1	600.7	636.5	673.4	711.4	750.6	790.9	832.3	874.9	918.6	963.5	1009.5																										
-300	27.3	27.8	29.5	32.2	36	40.9	46.8	53.9	62	71.2	81.5	92.9	105.3	118.9	133.5	149.3	166.1	184	203	223.1	244.3	266.6	290	314.5	340	366.7	394.5	432.4	453.4	484.5	516.8	550.1	584.5	620.1	656.8	694.6	733.6	773.6	814.8	857.1	900.6	945.2	990.9	1037.8	1085.9	1135.1	1185.4	1237	1289.7																				
-200	16.2	16.8	18.4	21.1	24.8	29.7	35.6	42.6	50.7	59.8	70.1	81.4	93.8	107.3	121.8	137.4	154.2	172	190.9	210.9	231.9	254.1	277.4	301.7	327.1	353.7	381.3	410	439.8	470.7	502.8	535.9	570.2	605.5	642	679.6	718.3	758.1	799.1	841.1	884.3	928.7	974.2	1020.8	1068.5	1117.4	1167.5	1218.7	1271.1	1324.6	1379.3	1435.1	1492.2	1550.4															
-100	7.1	7.62	9.2	11.9	15.6	20.5	26.3	33.3	41.3	50.5	60.6	71.9	84.2	97.6	112.1	127.6	144.3	162	180.7	200.6	221.6	243.6	266.7	290.9	316.2	342.5	370	398.5	428.2	458.9	490.8	523.7	557.7	592.9	629.1	666.5	704.9	744.5	785.2	826.9	869.9	914	959.2	1005.5	1052.9	1101.6	1151.3	1202.2	1254.3	1307.5	1361.8	1417.3	1474	1531.9	1590.9	1651.1	1712.5	1775.1											
0	0	0.5	2.1	4.8	8.5	13.3	19.2	26.1	34.1	43.1	53.2	64.4	76.7	90	104.4	119.9	136.4	154	172.7	192.4	213.3	235.1	258.1	282.2	307.3	333.5	360.8	389.2	418.6	449.2	480.8	513.5	547.4	582.3	618.3	655.4	693.6	732.9	773.4	814.9	857.6	901.3	946.2	992.2	1039.4	1087.7	1137.1	1187.7	1239.4	1292.2	1346.2	1401.4	1457.6	1515.2	1523.8	1633.7	1694.7	1756.9	1820.2	1884.8	1950.6	2017.5	2085.7						
100	-4.9	-4.3	-2.8	-0.11	3.6	8.3	14.2	21	29	38	48.1	59.2	71.4	84.6	98.9	114.3	130.8	148.3	166.8	186.5	207.2	228.9	251.8	275.7	300.7	326.7	353.9	382.1	411.3	441.7	473.1	505.6	539.2	573.9	609.7	646.6	684.6	723.6	763.8	805	847.4	890.9	935.5	981.2	1028	1075.9	1125	1175.2	1226.5	1279	1332.7	1387.4	1443.4	1500.4	1558.7	1618.2	1678.7	1740.5	1803.5	1867.6	1933	1999.5	2067.3	2136.2	2206.5	2277.7	2350.3	2423.4	
200	-7.6	-7	-5.5	-2.8	0.9	5.6	11.4	18.2	26.1	35.1	45.1	56.2	68.3	81.5	95.7	111	127.4	144.8	163.3	182.8	203.4	225	247.8	271.5	296.4	322.3	349.3	377.3	406.4	436.6	467.8	500.2	533.6	568	603.6	640.2	677.9	716.7	756.6	797.6	839.7	882.9	927.1	972.5	1019	1066.6	1115.3	1165.2	1216.2	1268.2	1321.5	1375.9	1431.4	1488	1545.9	1604.8	1665	1726.3	1788.8	1852.5	1917.4	1983.5	2050.7	2119.2	2188.9	2259.8	2331.9	2405.3	2442.4
300	-7.9	-7.4	-5.8	-3.2	0.5	5.2	11	17.8	25.7	34.6	44.6	55.6	67.6	80.8	94.9	110.2	126.4	143.8	162.2	181.6	202.1	223.6	246.2	269.9	294.6	320.3	347.2	375.1	404	434	465.1	497.2	530.4	564.7	600	636.5	673.9	712.5	752.1	792.8	834.6	877.5	921.5	966.6	1012.2	1060	1108.4	1157.8	1208.4	1260.1	1312.9	1366.9	1421.9	1478.2	1535.5	1594	1653.7	1714.6	1776.5	1839.7	1904.1	1969.7	2036.4	2104.4	2173.5	2243.9	2315.5	2388.4	2425.2
400	-5.7	-5.2	-3.6	1	2.6	7.3	13.1	19.9	27.7	36.6	46.5	57.5	69.5	82.5	96.7	111.8	128	145.3	163.6	182.9	203.3	224.8	247.3	270.8	295.4	321	347.7	375.5	404.3	434.1	465	497	530	564.1	599.3	635.5	672.8	711.1	750.5	790.9	837.5	875.1	918.8	963.5	1009.4	1056.3	1104.3	1153.5	1203.7	1254.9	1307.4	1360.9	1415.5	1471.3	1528.2	1586.2	1645.3	1705.6	1767.1	1829.7	1893.5	1958.5	2024.7	2092.1	2160.7	2230.4	2301.5	2373.6	2410.3
500	-1.2	-0.7	0.8	3.5	7.1	11.8	17.5	24.3	32.1	40.9	50.8	61.7	73.7	86.7	100.8	115.9	132.1	149.2	167.5	186.7	207.1	228.4	250.8	274.3	299.8	324.3	350.9	378.6	407.2	437	467.8	499.6	532.5	566.4	601.4	637.5	674.6	712.8	751.9	792.2	833.5	875.8	919.3	963.8	1009.3	1055.9	1103.6	1152.4	1202.2	1263.2	1305.2	1358.3	1412.5	1467.8	1524.2	1581.7	1640.4	1700.1	1761.1	1823.1	1886.3	1950.6	2016.1	2082.9	2150.7	2219.9	2290.2	2361.7	2398
600	5.9	6.4	7.9	10.5	14.2	18.8	24.6	31.3	39.1	47.9	57.8	68.7	80.7	93.6	107.7	122.7	138.8	156	174.2	193.4	213.6	235	257.3	280.7	305.1	330.6	357.1	384.6	413.2	442.9	473.5	505.3	538	571.8	606.7	642.6	679.5	717.5	756.5	796.6	837.7	879.8	923	967.3	1012.6	1058.9	1106.4	1154.8	1204.4	1255.1	1306.8	1359.6	1413.5	1468.3	1524.3	1581.3	1639.5	1698.7	1759	1820.5	1883.1	1946.8	2011.6	2077.6	2144.7	2213.1	2282.7	2353.4	2389.3
700	15.3	15.8	17.3	19.9	23.6	28.2	33.9	40.7	48.4	57.3	67.1	78	89.9	102.9	116.9	131.9	148	165.1	183.2	202.4	222.6	243.9	266.1	289.5	313.9	339.3	365.8	393.3	421.8	451.4	482	513.6	546.3	580	614.8	650.6	687.4	725.3	764.2	804.2	845.2	887.2	930.3	974.4	1019.6	1065.8	1113.1	1161.4	1210.7	1261.1	1312.5	1365	1418.5	1473.2	1528.8	1585.5	1643.3	1702.1	1761.9	1822.7	1884.8	1947.9	2012.1	2077.4	2143.9	2211.4	2280.1	2349.9	2385.3
800	27	27.6	29.1	31.7	35.3	40	45.7	52.4	60.2	69	78.8	89.7	101.6	114.6	128.5	143.6	159.6	176.7	197.8	214	234.2	255.4	277.7	301	325.3	350.7	377.1	404.6	433.1	462.6	493.1	524.7	557.4	591	625.7	661.5	698.2	736	774.9	814.8	855.7	897.7	940.7	984.7	1029.8	1075.8	1123	1171.2	1220.4	1270.7	1322	1374.3	1427.7	1482.1	1537.6	1594.1	1651.6	1710.2	1769.9	1830.5	1892.3	1955	2018.8	2083.7	2149.6	2216.6	2284.6	2353.7	2388.7
900	41.2	41.8	43.3	45.9	49.5	54.1	59.8	66.6	74.3	83.1	93	103.8	115.7	128.7	142.7	157.7	173.7	190.8	208.9	228.1	248.2	269.5	291.7	315	339.3	364.7	391.1	418.5	447	476.5	507	538.6	571.2	604.8	639.5	675.2	712	749.8	788.6	828.4	869.3	911.2	954.2	998.2	1043.2	1089.3	1136.4	1184.5	1233.7	1283.9	1335.1	1387.4	1440.7	1495.1	1550.5	1606.8	1664.3	1722.8	1782.3	1842.9	1904.5	1967.1	2030.7	2095.4	2161.2	2228	2295.8	2364.7	2399.5
1000	57.7	58.2	59.8	62.4	66	70.6	76.3	83.1	90.9	99.6	109.5	120.3	132.2	145.2	159.2	174.2	190.2	207.3	225.4	244.6	264.7	286	308.2	331.5	355.8	381.2	407.6	435	463.5	493	523.5	555.1	587.7	621.4	656.1	691.7	728.5	766.3	805.1	845	885.9	927.8	970.8	1014.8	1059.8	1105.9	1153	1201.1	1250.3	1300.5	1351.7	1404.1	1457.4	1511.7	1567.2	1623.6	1681	1739.5	1799.1	1859.6	1921.3	1983.9	2047.6	2112.3	2178.1	2244.9	2312.7	2381.6	2416.3
1100	76.5	77	78.5	81.1	84.8	89.4	95.1	101.8	109.6	118.4	128.3	139.1	151.1	164	178	193	209.1	226.2	244.3	263.5	283.7	304.9	327.2	350.5	374.8	400.2	426.6	454.1	482.6	512.1	542.6	574.2	606.9	640.6	675.3	711	747.8	785.6	824.5	864.4	905.3	947.3	990.3	1034.3	1079.4	1125.5	1172.7	1220.9	1270.1	1320.4	1371.7	1424	1477.4	1531.8	1587.3	1643.8	1701.4	1760	1819.6	1880.3	1941.9	2004.7	2068.5	2133.4	2199.3	2266.2	2334.2	2403.2	2438.1
1200	97.5	98	99.6	102.1	105.8	110.4	116.1	122.9	130.7	139.5	149.3	160.2	172.1	185.1	199.1	214.1	230.2	247.3	265.5	284.7	304.9	326.2	348.5	371.8	396.2	421.6	448	475.5	504	533.6	564.2	595.9	628.5	662.3	697	732.8	769.6	807.5	846.4	886.4	927.4	969.4	1012.5	1056.6	1101.8	1147.9	1195.2	1243.4	1292.8	1343.1	1394.6	1447	1500.6	1551.1	1610.7	1667.3	1724.9	1783.7	1843.5	1904.3	1966.2	2029.1	2093.1	2158.1	2224.2	2291.3	2359.5	2428.8	2463.8
1300	120.6	121.2	122.7	125.3	128.9	133.6	139.3	146.1	153.9	162.7	172.6	183.5	185.4	208.4	222.4	237.5	253.6	270.7	288.9	308.1	328.4	349.7	372	395.4	419.8	445.3	471.8	499.3	527.9	557.5	588.1	619.8	652.6	686.4	721.2	757	794	831.9	870.9	910.9	952	994.1	1037.3	1081.5	1126.8	1173.1	1220.4	1268.8	1318.3	1368.7	1420.3	1472.9	1526.5	1581.2	1636.9	1693.7	1751.5	1810.4	1870.4	1931.4	1993.4	2056.6	2120.7	2185.9	2262.3	2319.6	2388.1	2457.6	2492.7
1400	145.9	146.4	148	150.6	154.2	158.9	164.6	171.4	179.2	188	197.9	208.8	220.8	233.8	247.9	263	279.1	296.3	314.5	333.7	354	375.4	397.8	421.2	445.6	471.2	497.7	525.3	553.9	583.6	614.3	646.1	678.9	712.8	747.7	783.6	820.6	858.7	897.7	937.9	979	1021.3	1064.5	1108.9	1154.2	1200.7	1248.1	1296.7	1346.2	1396.9	1448.5	1501.3	1555.1	1609.9	1665.8	1722.7	1780.8	1839.9	1900	1961.2	2023.5	2086.8	2151.2	2216.7	2283.3	2350.9	2419.6	2489.3	2524.6
1500	173.2	173.7	175.3	177.9	181.6	186.2	192	195.8	206.6	215.4	225.3	236.3	248.3	261.3	275.4	290.5	306.7	323.9	342.2	361.5	381.8	403.2	425.6	449.1	473.6	499.2	525.8	553.5	582.2	611.9	642.7	674.6	707.5	741.4	776.4	812.4	849.5	887.7	926.9	967.1	1008.4	1050.7	1094.1	1138.6	1184.1	1230.6	1278.2	1326.9	1376.6	1427.4	1479.3	1532.1	1586.1	1641.1	1697.2	1754.4	1812.6	1871.9	1932.2	1993.6	2056.1	2119.7	2184.3	2250	2316.8	2384.7	2453.6	2523.7	2559.1
1600	202.5	203	204.6	207.2	210.9	215.6	221.3	228.1	236	244.8	254.8	265.8	277.8	290.8	304.9	320.1	336.3	353.6	371.9	391.2	411.6	433.1	455.5	479.1	503.7	529.3	556	583.7	612.5	642.3	673.2	705.2	738.1	772.2	807.3	843.4	880.6	918.8	958.1	998.5	1039.9	1082.4	1125.9	1170.5	1216.1	1262.8	1310.5	1359.4	1409.3	1460.2	1512.2	1565.3	1619.5	1647.7	1730.9	1788.3	1846.7	1906.2	1966.8	2028.4	2091.1	2154.9	2219.8	2285.7	2352.8	2420.9	2490.1	2506.4	2596.1
1700	233.7	234.6	235.8	238.4	242.1	246.8	252.6	259.4	267.3	276.2	286.2	297.2	309.2	322.3	336.5	351.7	367.9	385.2	403.6	423	443.4	464.9	487.5	511.1	535.7	561.4	588.2	616	644.9	674.8	705.8	737.8	770.9	805	840.2	876.4	913.7	952.1	991.5	1032	1073.5	1116.1	1159.8	1204.5	1250.3	1297.2	1345.1	1394.1	1444.1	1495.2	1547.4	1600.7	1655	1710.4	1766.9	1824.4	1883	1942.7	2003.5	2065.4	2128.5	2192.4	2257.4	2323.7	2399.9	2459.3	2528.8	2599.3	2635.1
1800	266.9	267.4	269	271.6	275.3	280	285.8	292.6	300.5	309.4	319.4	330.5	342.6	355.7	369.9	385.1	401.4	418.8	437.2	456.6	477.1	498.7	521.3	545	569.7	595.5	622.3	650.2	679.2	709.2	740.3	772.4	805.5	839.8	875.1	911.5	948.9	987.4	1026.9	1067.5	1109.2	1151.9	1195.7	1240.6	1286.5	1333.5	1381.6	1430.8	1481	1532.3	1584.7	1638.2	1692.6	1748.2	1804.8	1862.6	1921.4	1981.3	2042.3	2104.4	2167.6	2231.8	2297.2	2363.7	2431.2	2499.8	2569.6	2640.4	2676.2
1900	301.9	302.4	304	306.6	310.3	315	320.8	327.7	335.6	344.5	354.6	365.6	377.7	390.9	405.2	420.5	436.8	454.2	472.7	492.2	512.7	534.4	557	580.8	605.6	631.4	658.4	686.3	715.4	745.5	776.6	808.9	842.2	876.5	911.9	948.4	985.9	1024.6	1064.3	1105.1	1146.8	1189.6	1233.6	1278.6	1324.7	1371.8	1420.1	1469.4	1512.8	1571.2	1623.7	1677.4	1732.1	1787.9	1844.8	1908.7	1961.8	2021.9	2083.1	2145.4	2208.8	2273.3	2338.9	2405.6	2473.4	2542.3	2612.2	2683.3	2719.3
2000	338.6	339.1	340.7	343.4	347.1	351.8	357.6	364.5	372.4	381.4	391.5	402.6	414.7	428	442.2	457.6	474	491.5	510	529.6	550.2	572	594.7	618.5	643.3	669.2	696.2	724.3	753.4	783.6	814.9	847.2	880.6	915	950.6	987.2	1024.8	1063.6	1103.3	1144.2	1186.2	1229.2	1273.3	1318.4	1364.7	1442	1460.4	1509.9	1560.5	1612.1	1664.8	1718.6	1773.5	1829.5	1886.6	1944.7	2003.9	2064.3	2125.7	2188.3	2251.8	2316.6	2382.4	2449.4	2517.2	2586.5	2656.8	2728.1	2764.2
2100	377.1	377.6	379.2	381.9	385.6	390.4	396.2	403.1	411	420.1	430.1	441.3	453.5	466.7	481.1	496.4	512.9	530.4	549	568.6	589.3	611	633.9	657.8	682.7	708.7	735.8	764	793.2	823.5	854.9	887.3	920.8	955.3	991	1027.7	1065.5	1104.4	1144.3	1185.3	1227.4	1270.5	1314.8	1360.1	1406.5	1453.9	1502.5	1552.8	1602.9	1654.7	1707.6	1761.6	1816.7	1872.9	1930.1	1988.5	2047.9	2108.5	2170.1	2232.9	2296.7	2361.7	2427.8	2494.9	2563.2	2632.6	2703.4	2774.7	2810.9
